,id,comment,author,likecount,publishedAt
0,UgxYh1ecocfZcUjfruJ4AaABAg,the vengals 👌,JasonBourne C.I.A,0,2021-11-19T20:36:12Z
1,UgyPEh-89H3oFaQzu194AaABAg,"The most terrifying moment of this scene is when they jump. Water, dark night, big waves, rain, ocean filled with horrific monsters. Gosh this director is so goood",BrainLoading,3,2021-11-13T22:21:04Z
2,UgxgdytqqCSI3CedtJZ4AaABAg,Why this aquaman looks stronger than the aquaman in JL 🤔,Justin,0,2021-11-13T15:24:08Z
3,Ugy0Y89hFzxBQWimjZR4AaABAg,He should have let her die,Juicy-Jam-Jelly,0,2021-11-13T13:23:22Z
4,UgyIf-luzcXTbuAMMJh4AaABAg,2:33 That shot haunts my dreams!! That is good cinematography!! 😱😱😱,Wing Man,1,2021-11-12T07:56:05Z
5,UgwjyBt_pMywcvCJ3kl4AaABAg,"HP Lovecraft must be smiling in his grave.
A crusty old boat on a stormy night and a deep one",James Woolfall,0,2021-11-07T00:36:12Z
6,UgyoxbpGMqDJrwCcc9h4AaABAg,Wan should have been the guy to design the ParaDemons,Joshua Dawson,0,2021-11-06T19:49:37Z
7,UgyvejrIXHBy44qVlYN4AaABAg,"Whoever watched might have a hard time to realizes that the director of this movie, James Wan, has directed horror movies!",David Le,0,2021-11-04T11:28:35Z
8,Ugzn_0QujVkXWsuEllR4AaABAg,James Wann really wanted a zombie scene,Bougie312,0,2021-11-03T19:50:23Z
9,UgzJHzuH0-C_Y-6HQo54AaABAg,Они могу плавать Невероятно. Зачем они на лодке плывут,Arstanbek bin Mukan,0,2021-11-01T13:40:01Z
10,Ugyo-lR59fPXLzJdaWh4AaABAg,"Dear god the use of color in this movie was just aces. In a sea of boring, greyed out superhero movies, there's a reason this made a billion dollars at the box office.",Max Miller,0,2021-10-31T08:56:29Z
11,UgxtWq3xnQM0WWBj2pp4AaABAg,The deep ones would make H.P. Lovecraft proud. Those thing s were bad ass. {best scene in the movie},nigel moore,0,2021-10-26T23:48:02Z
12,Ugw2HdQx2w4b283UeR14AaABAg,"Why didn't he just ""talk to the fish"" and tell them to back off?  Yes, I know, the _water_ does the talking, but he could have put his hand out and done that ""ring"" thing, and asked them to go away... Plot hole.",Lancer525,0,2021-10-26T15:38:11Z
13,Ugzx8AM6u-EB4UyCEll4AaABAg,"The scary thing about the Trench isn't just their design, but also the fact they used to be Atlanteans that evolved into these hellish monster people.",Eric Hunsaker,33,2021-10-26T00:24:24Z
14,Ugx9CPgqZ06h3HkagQZ4AaABAg,Good luck watching this if you’re thalassophobic (fear of the deep ocean),David,0,2021-10-23T02:14:24Z
15,UgwHwPXEhik0lBm5QEV4AaABAg,"I was not scared at all watching this scene. I was just not. This is not even horror. This is just like, Meh mixed with awesome shots. That's it.",DragonZaler,0,2021-10-21T01:37:05Z
16,UgyxkNiV9V_cmVJ9jOp4AaABAg,"Epic moment, this scene gives you experience, i definitely hold my breath when they're both start diving through the Trench. So cool.",D L2021,0,2021-10-16T14:36:17Z
17,UgzHmGjeXbQGWV9HO4V4AaABAg,Shame how these nightmare fuel creatures were once living human Atlantians like Arthur and Mera,Star Wars Kid,0,2021-10-16T02:45:07Z
18,UgzgNGuNfyhB6-8-ZCJ4AaABAg,"YOU WANNA MAKE A LOVECRAFT FILM, JAMES??",Snappy,0,2021-10-13T18:59:31Z
19,Ugz7GC_1lb1ZmlaZ4RV4AaABAg,"This species makes no sense. If they exist, how are humans able to exist on the ocean?
Overpopulation would cause a fish shortage and they'd probably end up trying to move to land.",Gaius Marius,0,2021-10-09T22:24:56Z
20,UgziM58GnninsTJrcsN4AaABAg,This whole scene felt like pure anxiety,AppleJacksApple1,0,2021-09-27T07:14:24Z
21,Ugz7_cakNBRZFCAUqB14AaABAg,Did the trench kiss Arthur that's disgusting but also funny 🤣,GAMER EXP,0,2021-09-24T19:39:12Z
22,Ugw6Jd0-lhRj53uBYWJ4AaABAg,"Literally the best scene in the whole movie. I'd love to see this dark ocean world (and it's creatures) explored more!
Wan was made for horror!",Bri Khamp,0,2021-09-21T01:58:47Z
23,UgwCFdVaipMcJgXcgRJ4AaABAg,This scene is just too beautiful... The colours and visuals are just fantastic... I was breathtaken when I watched this in the cinema,Dharani kanthan,0,2021-09-19T03:13:27Z
24,Ugwf1HRUjBkbAEtSTyR4AaABAg,"Well,this is directed by the same Dude that made Insidious and The Conjuring...very spooky 👻",Devin H.,0,2021-09-14T21:40:38Z
25,Ugx2v6tixdyU0JAZhjt4AaABAg,Xenomorph plus piranha equals a trench creature,Oliver Page,0,2021-09-13T19:01:07Z
26,UgxsvVs5mlHnGPiB4Ux4AaABAg,"People who call Wan the ""King of Horror"" aren't horror fans. They like being startled, not terrified/horrified. Cause that's all his ""horror"" is, nothing more than jumpscares with only a minimal amount of buildup.",A Forlorn Lancer,2,2021-09-09T21:43:38Z
27,UgxuW4SI7r9hYAyonBd4AaABAg,"This sequence or scene alone can rival any action sequence in ""The Tomorrow War""!",Eric okonkwo,2,2021-09-02T03:59:15Z
28,Ugyr4JcqKlH8TYKnVwB4AaABAg,Where iam see this movie,Unique Mahi,0,2021-08-20T16:09:18Z
29,UgzAfpaq9wt64bdx1Ft4AaABAg,"I'm a marvel fan but in the whole Aquaman movie I love this scene. 
The cinematography here is amazing.. 🙌🏼.",Mrutyunjay Barik,0,2021-08-18T05:03:42Z
30,UgxlDvzhAgYgy34rSz14AaABAg,"This movie deserved at LEAST a vsfx Oscar nomination. The whole movie is done so beautifully, it’s from another world",Mr. Gatsbyyy,0,2021-08-17T07:15:29Z
31,UgyPaDdsbYxl5_60iDt4AaABAg,"THAT""S A LOT OF MIRELURK KINGS",Richard Legaspi,0,2021-08-17T00:50:12Z
32,UgxGWVZgr7DtkwApHod4AaABAg,This scene is amazing... But just imagine some human vessels travel there and got attacked by these monsters.,TheGrim Reaper,0,2021-08-15T14:30:50Z
33,UgzmXSQZi5Uyg0TKwsl4AaABAg,"Amber Heard vs trench creatures, who is more scary ?",Sanjib Thakuria,0,2021-08-13T17:39:25Z
34,UgyI4HgplRU-uv8AJW54AaABAg,so they talked under water!,Ashique Ibn Nizam,0,2021-08-13T08:11:38Z
35,UgxOdzUeLRJ05jwqZ-14AaABAg,I want to see who would between Trench creatures and Parademons,John Manuel,0,2021-08-12T05:01:42Z
36,UgxLXvMKAkzsQiAjWTZ4AaABAg,hands down the best cinematic scene of any superhero movie released till now. Just amazing!!,White Knight,0,2021-08-12T04:03:47Z
37,Ugx13wmg22cC9Z2K_mF4AaABAg,"What I love about this is that the trench aren't evil or henchmen of the big bad.

They're just predators.",ace bear,0,2021-08-12T01:27:25Z
38,UgyrNSMzwqVLbzii1SB4AaABAg,I wonder if James wan would direct a movie  based on H.P. Lovecraft's work,akatsuki _ 18,1,2021-08-10T18:52:02Z
39,UgxJognMrRPk0oXa8Lh4AaABAg,Ye op tha guru,Rahul Nayak,0,2021-08-08T19:45:55Z
40,UgySEFXUwfqDC7kerXB4AaABAg,"Aquaman (2018) f""U'l""L m'O""v'i""E""h""D
——————————————————---
Watch Here > https://j.mp/3foOqw6


Download� ➽ https://is.gd/vTRgfa
�Stream� ➽ https://is.gd/OSKnL0




今後は気をライブ配信の再編ありがとうです！この日のライブ配信は、かならりやばかったですね！１万人を超える人が見ていたもん（笑）やっぱり人参最高！まさかのカメラ切り忘れでやら1かしたのもドキドキでした,. 💖🖤在整個人類歷史上，強者，富人和具有狡猾特質的人捕食部落，氏族，城鎮，城市和鄉村中的弱者，無`'守和貧窮成員。然而，人類的生存意願迫使那sfdsd些被拒絕，被剝奪或摧毀的基本需求的人們找到了一種生活方式，並繼續將其DNA融入不斷發展的人類社會。. 說到食物，不要以為那些被拒絕的人只吃垃圾。相反，他們學會了在被忽視的肉類和蔬菜中尋找營養。他們學會了清潔，切塊，調味和慢燉慢燉的野菜和肉類，在食品`` √™ Lorsqu'une pilule qui donne aux utilisateurs cinq minutes de super pouvoirs inattendus arrive dans les rues de la Nouvelle-Orléans, un adolescent marchand et un policier local doivent faire équipe avec un ancien soldat pour faire tomber le groupe responsable de sa fabrication. √™ Когда таблетка, дающая пользователям пять минут неожиданных сверхспособностей, попадает на улицы Нового Орлеана, торговец-подросток и местный полицейский √™должны объединиться с бывшим солдатом, чтобы уничтожить группу, √™ответственную за ее создание""'""'"" 45-летний аристократ влюбляется в доброго, но бедного художника на борту роскошного и незадачливого R.M.S. Титаник. Титаник - это американский фильм 1997 года, снятый и снятый credit;https://motionmoviedaily.blogspot.com/ Джеймсом Кэмероном. В этом фильме рассказывается история любви Джека и Роуз (их играют Леонардо Ди Каприо и Кейт Уинслет), которые пришли из разных социальных слоев на борту Титаника RMS, затонувшего во время своего первого рейса 15 апреля 1912 года. 00:01 Це механізм, який ми використовуємо для встановлення Кеннеди,
Жонсон нарын тэргүүлэгчид, Вьетнам,",nookie,0,2021-08-05T00:03:34Z
41,UgwDyEO-5ScCLaJPO6B4AaABAg,The visuals are freaking awesome!!,RJ Chaotic,0,2021-08-04T13:35:51Z
42,UgwKMigRKGAO0rrmVnR4AaABAg,"Right from watching clips of exorcism, how did I reach here?",Venomous,1,2021-08-02T15:03:31Z
43,Ugwz7H_elOpmkT3IiBh4AaABAg,Man...... the cgi is something else,Sajid Emad,0,2021-08-02T13:50:23Z
44,UgwmMlAXiFpMEIPPt1V4AaABAg,legends,그게되냐고 몬엑 적당히 좋아하는거,0,2021-08-02T11:50:52Z
45,Ugz5VxvjlGoS1cB4Fzx4AaABAg,https://youtube.com/shorts/iFaPVH238ak?feature=share,Volga status tv 59.3k subscriber,0,2021-07-31T11:39:48Z
46,UgwpT8l0SHaMCUpUnpp4AaABAg,❤️,Suzana Mantovani Cerqueira,0,2021-07-28T23:40:52Z
47,UgzG0UkNOrjggoYmtQ54AaABAg,where gonna need a bigger boat lol !,Patrick McQueary,0,2021-07-28T06:47:47Z
48,UgwW6v3P-zynEVFlZi54AaABAg,"""They are from the Depths, they're scared of the Lights!""

1:14 sitting on the lights 🤦🏻‍♂️",Stoned SouL,1,2021-07-26T14:17:35Z
49,UgxiKd4jU22yFArH-6d4AaABAg,What hell would be like if you was a evil fish,Tha investor,0,2021-07-20T14:02:54Z
50,UgwjkwjEdT9z9KYVggV4AaABAg,Fighting Aquaman in the middle of ocean is like fighting a lion in a forest in the middle of Africa,vihan sharma,1,2021-07-20T06:50:05Z
51,UgzTk5pyReo45nMlIOZ4AaABAg,What else...I mean come on...aqua man...then what...gape man??,Madison Scott,0,2021-07-19T22:35:16Z
52,Ugx8Pk6gmUpLAVWQqw54AaABAg,What is stitch doing here,Shrek_2_on_DVD69,0,2021-07-16T01:36:56Z
53,Ugwh40by_V6_Cc_iZGJ4AaABAg,That had to be the most terrifying and best scene of all time,P00lK1ng221,2,2021-07-15T10:18:59Z
54,UgxUllzLzAtGvYYQLvV4AaABAg,All I’m saying is if that was me the boat would have been painted brown😂,Vyorg,3,2021-07-09T20:08:30Z
55,UgzKWcKLeiQ7hXedI5N4AaABAg,Di larang semua pergi ke pantai n laut.. Angin kuat..,Abdullah Husien,0,2021-07-09T18:15:19Z
56,UgyjezSBa3DVo_QAiVd4AaABAg,My favorite movie scene,battle world,0,2021-07-08T06:55:20Z
57,Ugz_Ab2xv9IMxuwLJLZ4AaABAg,"This scene is really worth watching ,  brought with best graphics ever …..one of the best fantasy movie in recent times ….",Suresh Shanmugam,0,2021-07-07T17:18:36Z
58,UgxGl49VV3TgbnvIdbd4AaABAg,"@1:15

Best clip of the whole movie",Badger,0,2021-07-07T16:43:01Z
59,UgxJnJo2evZD7Qk4XQ94AaABAg,The director is from Malaysia,Honor Etra,0,2021-07-07T10:22:35Z
60,UgxfhQesjMycrnflFy14AaABAg,"Yo they both have super powers, and I was still screaming ""swim faster!""",Trill Burr,2,2021-07-05T22:53:01Z
61,UgzD95w7FvXgL8wZQzF4AaABAg,The Trench have just made me afraid of the ocean,Kaleb Lindner,1,2021-07-04T01:04:51Z
62,Ugy5pzMhjumIT2xnSLR4AaABAg,I can’t get over the fact of how good this movie looks,CorkyNoah1027,2,2021-07-03T18:55:46Z
63,UgwodbxM3txi_tdnREd4AaABAg,Are these things kappas,BootsMcNab,0,2021-06-28T17:57:34Z
64,Ugz5klZCAz5_Gpoucuh4AaABAg,I like how James Wan brought in Joseph Bishara (insidious and conjuring music) to compose just for this scene,ChucklesProductions,0,2021-06-28T14:28:56Z
65,UgwzNkyYWPsgjyu9fVx4AaABAg,"The one thing that's a little downer on this is the idea that the literally King of the Ocean that has the power of the ocean itself and a warrior princess of the sea that can literally drain out oceans if she wanted to shows fear in fighting creatures, IN THE SEA.",Dan Onil Galang,0,2021-06-27T04:43:59Z
66,UgzONebwiVVVT4N_kYt4AaABAg,Who else thought that the creatures from the Trench also reminded us of the Xenomorphs?,"The Shiny Thunderclap Pokémon, Zeraora",0,2021-06-26T16:47:34Z
67,UgxLifepy2aWfXY241l4AaABAg,Osm,Sangita Sunam,0,2021-06-26T03:45:38Z
68,UgwXYJVzDVgoibTHJSp4AaABAg,I always thought how perfect this made sense In a history sense. This is in the Mediterranean hypothetically where there are countless upon countless tales of monsters from the sea. Ergo monsters from the trench,Min0rity Report,1,2021-06-26T00:38:51Z
69,UgzIpe2W_onx9pyMfTR4AaABAg,"@4:11 I swear that sound effect is from ""Remember Me"" (the Sure Is Pure edits) - https://www.youtube.com/watch?v=y2Eah_EGiDc",Intentionally Left Blank,1,2021-06-23T18:23:17Z
70,UgyB105twJygsCaQ1TB4AaABAg,"and they gave the VFX Oscar to black panther,. no hate for black panther but that movie didn't deserves it.. this movie did...",Bruce Wayne,1,2021-06-23T08:37:26Z
71,Ugz2uuCd1kD45794-JJ4AaABAg,This scene of Aquaman was my favorite,Ricky Rick archives,0,2021-06-22T00:08:54Z
72,UgzyeAZPI-bXTDK5_P14AaABAg,"Aquaman (2018) f'u""l'l M'o'V'i""E
𝐖𝐚𝐭𝐜𝐡 𝐇𝐞𝐫𝐞 ➽ https://bit.ly/3haFfAU





Stream Now ➣ https://is.gd/JdDHHw
download : https://is.gd/JdDHHw


-All Subtitle Available



!💖🖤❤️今後は気をライブ配信の再編ありがとうです！この日のライブ配信は、かならりやばかったですね！１万人を超える人が見ていたもん（笑）やっぱり人参最高！まさかのカメラ切り忘れでやら1かしたのもドキドキでした,.
 💖🖤在整個人類歷史上，強者，富人和具有狡猾特質的人捕食部落，氏族，城鎮，城市和鄉村中的弱者，無`'守和貧窮成員。然而，人類的生存意願迫使那些被拒絕，被剝奪或摧毀的基本需求的人們找到了一種生活方式，並繼續將其DNA融入不斷發展的人類社會。.
 說到食物，不要以為那些被拒絕的人只吃垃圾。相反，他們學會了在被忽視的肉類和蔬菜中尋找營養。他們學會了清潔，切塊，調味和慢燉慢燉的野菜和肉類，在食品:""""""""""`
√™ Lorsqu'une pilule qui donne aux utilisateurs cinq minutes de super pouvoirs inattendus arrive dans les rues de
 la Nouvelle-Orléans, un adolescent marchand et un policier local doivent faire équipe avec un ancien soldat pour
√™ faire tomber le groupe responsable de sa fabrication. √™""""""thanks""""""",jennachew,1,2021-06-14T23:19:10Z
73,Ugy0dqAeZLgQJmC02Gl4AaABAg,"Aquaman (2018) f'u""l'l M'0'V'i""E
𝐖𝐚𝐭𝐜𝐡 𝐇𝐞𝐫𝐞 ➽ https://bit.ly/3nYVjaa









-All Subtitle Available
Stream Now ➣ https://is.gd/TybMv9
download : https://is.gd/TybMv9


!💖🖤❤️今後は気をライブ配信の再編ありがとうです！この日のライブ配信は、かならりやばかったですね！１万人を超える人が見ていたもん（笑）やっぱり人参最高！まさかのカメラ切り忘れでやら1かしたのもドキドキでした,.
 💖🖤在整個人類歷史上，強者，富人和具有狡猾特質的人捕食部落，氏族，城鎮，城市和鄉村中的弱者，無`'守和貧窮成員。然而，人類的生存意願迫使那些被拒絕，被剝奪或摧毀的基本需求的人們找到了一種生活方式，並繼續將其DNA融入不斷發展的人類社會。.
 說到食物，不要以為那些被拒絕的人只吃垃圾。相反，他們學會了在被忽視的肉類和蔬菜中尋找營養。他們學會了清潔，切塊，調味和慢燉慢燉的野菜和肉類，在食品:""""""""""`
todos los subtítulos
Tessa se encuentra luchando con su complicada relación con Hardin; se enfrenta a un dilema que podría cambiar sus vidas para siempre.
Título después de que chocamos
Elenco Josephine Langford, Hero Fiennes Tiffin, Shane Paul McGhie y más ...
Países Estados Unidos de Américas",zhuke,2,2021-06-14T23:14:05Z
74,UgyrrQiLEno8l-2XZiF4AaABAg,"The true brother-in-law scientifically rain because collision systemically risk mid a pathetic head. probable, irate close",Stella willium,0,2021-06-14T10:48:08Z
75,UgwDNa1NU4yi1ITAkkt4AaABAg,"Screw you, Amber Heard",Noah Gassler,0,2021-06-11T06:37:35Z
76,UgyWQWmhOHJcST8lI7R4AaABAg,Hell Naw 🤣🤣🤣 I don’t even jump in my tub let alone an ocean full of whatever those are.,Jason Moise,0,2021-06-08T19:45:19Z
77,Ugw9rW0ZCs3oDNwRO7l4AaABAg,"WB: how terrify can you make the Trench scene? 

Wan: Yes.",Paine Punk,1,2021-06-06T01:04:03Z
78,Ugw3Hv5wfbdQMLT17ml4AaABAg,https://youtu.be/fy91ZtfWNGw,Vikash,0,2021-06-05T12:44:31Z
79,Ugypg2TfhQMcf4XYEkp4AaABAg,"The threatening triangle disturbingly reproduce because band repressingly strengthen around a well-made tsunami. different, messy rabbit",nguyen luong,0,2021-06-04T14:33:40Z
80,UgxEyWbkzzGlAtRf56h4AaABAg,"Boy, that's a bunch of Murlocs.",Irving de Vellasco,0,2021-05-31T21:43:21Z
81,UgzSOIv5bwt5vdRtfQd4AaABAg,у меня тоже впадина неплохая,MC Zonter,0,2021-05-30T21:00:37Z
82,Ugyismjz6g_iGCNbvo94AaABAg,I always hate fighting Sahagin...,BYERE,0,2021-05-29T13:26:41Z
83,UgyzrEsiWe3cG5rnY2t4AaABAg,Imagine superman just randomly flying there,Joel Val Archer Vercide,0,2021-05-24T07:45:05Z
84,UgxzxREgLQ1_94Br9xd4AaABAg,круто,Игорь Никитин,0,2021-05-23T11:04:45Z
85,Ugzco2Qt3XsAa_pwb994AaABAg,You know.. Superman can handle it better,RKB. Ch,0,2021-05-20T11:48:47Z
86,UgxDwIbzBlfiUI2J02p4AaABAg,Why can't Amber fight back ? I thought she's good at punching ?,Me Two,3,2021-05-16T08:19:57Z
87,UgxIVbLkpqgwCaZP2s54AaABAg,The best VFX sequence ever. Period.,Badhan Ganesh,0,2021-05-15T10:52:49Z
88,Ugzq4Y7zamkQZVKz-QZ4AaABAg,0:46 Mera why don’t you do this all the way?,Captain MD,2,2021-05-15T09:36:32Z
89,Ugzhs-cQvBa28_-_ElN4AaABAg,💜💚,G MAP,0,2021-05-15T04:40:28Z
90,Ugzlw343D80UIr3HHuR4AaABAg,They are probably the only people who decide to jump into the ocean in this kind of situation...😅,CatchyAnime,0,2021-05-15T03:46:22Z
91,UgzCP38aRFMACbxW9yV4AaABAg,The only bad thing about this masterpiece is Amber the fookin witch Heard.,Prakash Pandey,0,2021-05-14T14:16:51Z
92,Ugwz0O2n2RnwJQZBNAV4AaABAg,this scene creepy af,thanh nguyen sy,0,2021-05-14T07:09:06Z
93,Ugwly2yDPlVB2Mty-8J4AaABAg,Thats a fuckin mirelurk king,Plate,0,2021-05-12T02:24:04Z
94,UgxvQqSJSxl6I-HBYa54AaABAg,The best tiktok,TIK TOK TREN,0,2021-05-11T03:47:35Z
95,UgwNw0k2eKGEAr5gCQV4AaABAg,So many times r watching this film 🔥🔥🔥🔥,Nk Hit Super Scenes,0,2021-05-10T19:36:56Z
96,UgzeTpwp9jV0z2EvBKR4AaABAg,😂😂😂😂😂,James Conkey,0,2021-05-10T07:36:11Z
97,Ugy7yDn6kjNxYFRUUnx4AaABAg,u know where is this place on maraiana trench,Realme Hebat,1,2021-05-08T23:45:44Z
98,Ugz6JcSflDe4yT5yesl4AaABAg,I'm curious as to how you guys are able to u Ipload movie scenes like this without copyright claims PLEASE.,Victor Creed,0,2021-05-08T09:15:45Z
99,UgxKyVhI4WQ6CGadQJp4AaABAg,the light is working in the water is the light water proof😐,Rejin Charles Calumag,0,2021-05-07T23:16:49Z
100,UgzWJL4GSvMxpMWDbBl4AaABAg,so aquaman asked mera if she is ready to jump? like wtf? didnt she live in the water her entire life?,eliejah Gwapo,0,2021-05-07T16:07:35Z
101,Ugx86bYwgi2AF58wfZZ4AaABAg,"i remember the feeling of seeing this in theaters, wan really knew how to pull the horror from this scene.",OhHey I'mJulez,0,2021-05-07T15:40:03Z
102,UgzzmYcUqLjmGBJ_HU54AaABAg,I didn't remember it was so quiet during the first half of this scene. I feel like most comic book movies are ful of dialogue and witty jokes all in between fight scenes - they're almost never quiet and this one was for a decent minute. I kind of like it,Aldo Ramírez,0,2021-05-07T06:17:29Z
103,UgzUIX3lmKtkKy9fz1d4AaABAg,Hii😃😃😊😊😊😊😍😘😘🥰🥰🤗🤗,Sandeep Gurjar,0,2021-05-06T11:25:42Z
104,UgyFaZvYAYYMTgkKRFZ4AaABAg,"Аквамен - это, наверное, один из последних блокбастеров, в которых всё хорошо. Замечательные спецэффекты, достойный попкорн-муви сюжет, в котором умудрились показать всё - и лавкрафтовские ужасы океана, с которыми борется герой, и политические интриги внутри Атлантиса, и бой на подводной лодке. И всё это гармонично уложено в повествование.",Влад Чернов,0,2021-05-06T07:38:42Z
105,Ugx3IUG715rKK7k1fWt4AaABAg,Seeing the sea creatures coming after them made my skin crawl 💀💀😭😭😭,Felmarge Go,0,2021-05-05T07:57:42Z
106,UgwOE9iUxxpX6LkaEbN4AaABAg,La mejor pelicula,Batman,0,2021-05-04T13:11:14Z
107,UgwLllaKNTwXC0DARoV4AaABAg,Why tf did she wait to use her power lmao fuck as movie,KiNG Lolz,0,2021-05-04T05:51:50Z
108,UgyHnq6UreMeKwlOsJF4AaABAg,Every time I watch this my jaw drops.,Zrob,0,2021-05-04T03:08:58Z
109,UgwF_W6D_9hNR7JFDrB4AaABAg,plis the thench movie,rick stars ferreyros engels,2,2021-05-03T23:50:13Z
110,Ugwyja3YQs4aaJDBAw54AaABAg,James wan made a superhero movie feels like horror movie,Lion Heart,0,2021-05-03T19:09:13Z
111,Ugxnv056MnVDCDbMtct4AaABAg,One of the best scene from this movie👍,Shahrukh Sheikh,0,2021-05-02T23:20:29Z
112,UgwsLvksD2ZFRKr5tGt4AaABAg,"Most Hollywood VFX use night effect,simply cheating",Kingsly Sebastin,0,2021-05-02T08:58:49Z
113,UgzR92hwMFkShZ0Z-xV4AaABAg,"I hated this movie, boy did I hate it, but I remember this scene and how visually impressed I was with it.",GoonRaccoon,0,2021-05-02T08:51:08Z
114,UgxuqeLJtVz9t8zfq-h4AaABAg,"Aquaman (2018) f'u""l'l M'o'V'i""E
☑ playmovieoncinemax.blogspot.com/tt1477834/plyon

-All Subtitle



❤️今後は気をライブ配信の再編ありがとうです！この日のライブ配信は、かならりやばかったですね！１万人を超える人が見ていたもん（笑）やっぱり人参最高！まさかのカメラ切り忘れでやら1かしたのもドキドキでした,.
 💖🖤在整個人類歷史上，強者，富人和具有狡猾特質的人捕食部落，氏族，城鎮，城市和鄉村中的弱者，無`'守和貧窮成員。然而，人類的生存意願迫使那些被拒絕，被剝奪或摧毀的基本需求的人們找到了一種生活方式，並繼續將其DNA融入不斷發展的人類社會。.
 說到食物，不要以為那些被拒絕的人只吃垃圾。相反，他們學會了在被忽視的肉類和蔬菜中尋找營養。他們學會了清潔，切塊，調味和慢燉慢燉的野菜和肉類，在食品
 √™ Lorsqu'une pilule qui donne aux utilisateurs cinq minutes de super pouvoirs inattendus arrive dans les rues de la Nouvelle-Orléans, un adolescent marchand et un policier local doivent faire équipe avec un ancien soldat pour faire tomber le groupe responsable de sa fabrication. √™ Когда таблетка, дающая пользователям пять минут неожиданных сверхспособностей, попадает на улицы Нового Орлеана, торговец-подросток и местный полицейский √™должны объединиться с бывшим солдатом, чтобы уничтожить группу, √™ответственную за ее создание""'""'""
 45-летний аристократ влюбляется в доброго, но бедного художника на борту роскошного и незадачливого R.M.S. Титаник. Титаник - это американский фильм 1997 года, снятый и снятый Джеймсом Кэмероном. В этом фильме рассказывается история любви Джека и Роуз (их играют Леонардо Ди Каприо и Кейт Уинслет), которые пришли из разных социальных слоев на борту Титаника RMS, затонувшего во время своего первого рейса 15 апреля 1912 года. 00:01
Це механізм, який ми
використовуємо для встановлення
Кеннеди, Жонсон нарын тэргүүлэгчид, Вьетнам,
kkkkjhjhghjkghjkhjljjjjjjjjjjjjjghfghdhrrrrrrrrrh",jennachew,1,2021-05-02T06:16:13Z
115,UgzdpXxp6uMOKWuTta54AaABAg,I’m surprised that harpoons made from regular surface steel were able to pierce them like they did.,WildBill94,0,2021-04-28T02:28:09Z
116,UgyL7XLi6OrTuS34MRV4AaABAg,Didn't they pretty clearly say that only Hiborn could breath water and air ... these guys seem to have no problem being out of the water.,Hyde Whyte,0,2021-04-27T22:12:57Z
117,UgynOrnMqfyu3SuuV3p4AaABAg,https://youtu.be/OffPUD1QinM,LOVE ZAHRA,0,2021-04-26T22:48:52Z
118,UgwodPZm-AaVFv4ByTF4AaABAg,anyone else thinks the sound when they take off at 3:24  is pure epic eargasm???? <3,Mohamed,0,2021-04-25T20:46:25Z
119,UgzdJt1Gnu67N9ONXp54AaABAg,"I've been in the trenches, the trap, to be specific
I fell in love with my bitches, then sold 'em for some riches

I told 'em, ""I'm so slimy, I'm so shady, I admit it, yeah""",Alkyl homie,0,2021-04-24T06:10:22Z
120,Ugwk3Nt2VGTMllrZOC14AaABAg,Утопцы из ведьмака 3,Asylbek Keneshbekov,0,2021-04-23T09:29:19Z
121,UgyvYWxZSjI6z5Q2-Nd4AaABAg,Why haven't US navy killed these abominations till now??,Zed Warrior,0,2021-04-23T01:43:02Z
122,UgxEvgPm0jQmSq_gq7F4AaABAg,U can freeze frame each part and it would be a comic book panel,Tarek Chamas,0,2021-04-22T19:27:08Z
123,UgzlfLt2o2AMdWdF_8t4AaABAg,"Do u fear the ocean

No

Would u like to?",Tarek Chamas,0,2021-04-22T19:26:25Z
124,UgxAC6OrmPdio0wuAWF4AaABAg,What if THANOS was there searching for Stones😅😅,Rishi Upwanshi,0,2021-04-22T07:46:00Z
125,UgylLyvcdjSEByHLALB4AaABAg,Such Greatness!,Blockboi 38,0,2021-04-21T20:08:12Z
126,Ugy-M1XYt4QXG53RAE14AaABAg,Those things reminds me of the fish people on the fishing hamlet (last location of the Bloodborne DLC),Paolino 93,1,2021-04-21T18:57:32Z
127,Ugzs3Ne7gD5Ra8r7c_l4AaABAg,"The slow motion, color grading   waves,  lightening in background sky,   james wan totally brought the Zack snyder vibe here.",Ahmad Sajid,0,2021-04-21T18:00:38Z
128,UgynxxtivhubTpSd8el4AaABAg,Oh hey it's Reptile from that god awful Mortal Kombat movie,Ordonity,0,2021-04-20T23:21:29Z
129,Ugyt7fqQmjsvgpZmOPt4AaABAg,Несколько раз пересматривал фильм. Очень удачный и красивый,Otawello,0,2021-04-20T06:16:06Z
130,Ugw1GelZysuuOyoWru54AaABAg,Anyone getting Cthulhu vibes up until the 40 second mark ? 😂,Harrison Kelsey,0,2021-04-19T15:10:54Z
131,UgxVyG7-uX8CO4FO4CJ4AaABAg,I would love to see parademons up against these guys.,Nick Arnold,0,2021-04-19T07:19:17Z
132,Ugw5y5pfVUMf4yQzzgZ4AaABAg,1:07 did it just bite his face and nothing happened?,Seth Wingate,0,2021-04-19T04:12:09Z
133,UgxhaCtBjI3DV-KASNZ4AaABAg,The reveal of how many of them were swimming under the water with the lightning strikes is one of the best shots ice ever seen,Acus,0,2021-04-18T23:56:20Z
134,UgyyBuNuvpxOU2TBG394AaABAg,How did his mother make it to the other end?,LAchiboLALA,0,2021-04-18T14:21:47Z
